Otazka_ID;Kategorie;Otázka;Naive_Odpoved;Hybrid_Odpoved;Graph_Odpoved;Poznamka
SP-06;Logika;Proč musím platit zálohy, i když jsem ve ztrátě?;;;;
SP-07;Fakta;Jaká je lhůta o podání přehledu o příjmech a výdajích?;;;;
SP-08;Definice;Kdo je považován za OSVČ?;;;;
SP-09;Struktura;Jak se liší odvod pojištění u hlavní a vedlejší činnosti?;;;;
SP-10;Odkazy;Kde najdu pravidla pro sankce a penále při pozdní platbě?;;;;
SP-11;Slang;Co se stane, když zapomenu podat přehled včas?;;;;
SP-12;Logika;Jak moje odvody na pojištění ovlivní výši budoucího důchodu?;;;;
U-01;Fakta;Od jaké výše obratu musí mít firma povinně audit?;;;;
U-02;Definice;Kdo všechno se považuje za účetní jednotku?;;;;
U-03;Struktura;Jaké jsou povinné součásti účetní závěrky pro malou firmu?;;;;
U-04;Odkazy;Jak zákon o účetnictví odkazuje na oceňování majetku v jiných předpisech?;;;;
U-05;Slang;Musím udělat závěrku, i když jsem nic neprodal?;;;;
U-06;Logika;Proč nemůžu dát do nákladů celou cenu auta hned při nákupu?;;;;
U-07;Fakta;Jak dlouho se musí archivovat účetní závěrka?;;;;
U-08;Definice;Co se přesně rozumí pod pojmem inventarizace?;;;;
U-09;Struktura;Jaký je vztah mezi rozvahou a přílohou účetní závěrky?;;;;
U-10;Odkazy;Jak se účtuje v cizí měně a jaký kurz se používá?;;;;
U-11;Slang;Jak se v papírech řeší, když mi zmizí zboží ze skladu?;;;;
U-12;Logika;Jaký je rozdíl mezi účetním a daňovým odpisem?;;;;
